name,mana_value,color_identity,types,subtypes,set,year,rarity
Cavern Lampad,4.0,B,"Enchantment,Creature",Nymph,ths,2013,1
Sentinel Sarah Lyons,5.0,"R,W","Legendary,Creature","Human,Knight",pip,2024,3
Ajani Unyielding,6.0,"G,W","Legendary,Planeswalker",Ajani,aer,2017,4
A-The One Ring,4.0,,"Legendary,Artifact",,ltr,2023,4
Kezzerdrix,4.0,B,Creature,"Rabbit,Beast",tmp,1997,3
Whisperwood Elemental,5.0,G,Creature,Elemental,frf,2015,4
Deadly Wanderings,5.0,B,Enchantment,,dtk,2015,2
Flitterstep Eidolon,2.0,U,"Enchantment,Creature",Spirit,bng,2014,2
Goblin Lookout,2.0,R,Creature,Goblin,lgn,2003,1
Bee Sting,4.0,G,Sorcery,,por,1997,2
Domesticated Hydra,4.0,G,Creature,Hydra,cn2,2016,2
Wumpus Aberration,4.0,G,Creature,"Eldrazi,Beast",mh3,2024,2
Chant of Vitu-Ghazi,8.0,W,Instant,,rav,2005,2
Wind-Scarred Crag,0.0,"R,W",Land,,ktk,2014,1
Prava of the Steel Legion,3.0,W,"Legendary,Creature","Cat,Soldier",cmr,2020,2
Eye for an Eye,2.0,W,Instant,,arn,1993,2
Shimmering Efreet,3.0,U,Creature,Efreet,vis,1997,2
Vindictive Mob,6.0,B,Creature,"Human,Berserker",rav,2005,2
Dragon's Eye Savants,2.0,U,Creature,"Human,Wizard",ktk,2014,2
Goblin General,3.0,R,Creature,"Goblin,Warrior",p02,1998,3
Hagra Mauling // Hagra Broodpit,4.0,B,"Instant,//,Land",,pznr,2020,3
Rancid Earth,3.0,B,Sorcery,,tor,2002,1
Leyline of Lightning,4.0,R,Enchantment,,gpt,2006,3
Tocasia's Dig Site,0.0,,Land,,bro,2022,1
Amnesia,6.0,U,Sorcery,,drk,1994,2
Troublesome Spirit,4.0,U,Creature,Spirit,pcy,2000,3
Court Hussar,3.0,"U,W",Creature,"Vedalken,Knight",dis,2006,2
The Kenriths' Royal Funeral,4.0,"B,W","Legendary,Enchantment",,mat,2023,3
Over the Edge,2.0,G,Sorcery,,lci,2023,1
Sagu Mauler,6.0,"G,U",Creature,Beast,ktk,2014,3
Rootrunner,4.0,G,Creature,Spirit,chk,2004,2
Abbot of Keral Keep,2.0,R,Creature,"Human,Monk",pori,2015,3
Volrath's Laboratory,5.0,,Artifact,,sth,1998,3
Scaretiller,4.0,,"Artifact,Creature",Scarecrow,c19,2019,1
"Mr. House, President and CEO",3.0,"B,R,W","Legendary,Artifact,Creature",Human,pip,2024,4
Alaundo the Seer,4.0,"G,U","Legendary,Creature","Human,Shaman",pclb,2022,3
"Yidaro, Wandering Monster",7.0,R,"Legendary,Creature","Dinosaur,Turtle",piko,2020,3
"Killian, Ink Duelist",2.0,"B,W","Legendary,Creature","Human,Warlock",stx,2021,2
Bygone Marvels,2.0,G,Sorcery,,lcc,2023,3
Aerie Mystics,5.0,"G,U,W",Creature,"Bird,Wizard",con,2009,2
Galvanoth,5.0,R,Creature,Beast,mbs,2011,3
Lambholt Pacifist // Lambholt Butcher,2.0,G,Creature,"Human,Shaman,Werewolf,//,Creature,—,Werewolf",soi,2016,2
Indomitable Archangel,4.0,W,Creature,Angel,som,2010,4
Grave-Shell Scarab,5.0,"B,G",Creature,Insect,rav,2005,3
Radiant's Judgment,3.0,W,Instant,,ulg,1999,1
Tornado,5.0,G,Enchantment,,all,1996,3
Scrounger of Souls,5.0,B,Creature,Horror,hou,2017,1
"Karazikar, the Eye Tyrant",5.0,"B,R","Legendary,Creature",Beholder,afc,2021,4
The Twelfth Doctor,5.0,"R,U","Legendary,Creature","Time,Lord,Doctor",who,2023,3
Swarming Goblins,5.0,R,Creature,Goblin,afr,2021,1
Blackblade Reforged,2.0,,"Legendary,Artifact",Equipment,dom,2018,3
Dwarfhold Champion,2.0,W,Creature,"Dwarf,Warrior",afr,2021,1
Friendly Rivalry,2.0,"G,R",Instant,,ltr,2023,2
Renowned Weaver,1.0,G,Creature,"Human,Shaman",jou,2014,1
Kulrath Knight,5.0,"B,R",Creature,"Elemental,Knight",shm,2008,2
Molten Monstrosity,8.0,R,Creature,Hellion,dmu,2022,1
Akroma's Memorial,7.0,,"Legendary,Artifact",,fut,2007,3
Rivals' Duel,4.0,R,Sorcery,,mor,2008,2
Battle Menu,2.0,W,Instant,,fin,2025,2
Thromok the Insatiable,5.0,"G,R","Legendary,Creature",Hellion,pc2,2012,4
Trigon of Mending,2.0,W,Artifact,,som,2010,2
Reckless Spite,3.0,B,Instant,,tmp,1997,2
Necratog,3.0,B,Creature,Atog,wth,1997,2
Warden of the Grove,3.0,G,Creature,Hydra,tdm,2025,3
Pithing Needle,1.0,,Artifact,,sok,2005,3
Mirkwood Trapper,3.0,"G,U",Creature,"Elf,Scout",ltc,2023,3
"Ebondeath, Dracolich",4.0,B,"Legendary,Creature","Zombie,Dragon",pafr,2021,4
Archfiend of Ifnir,5.0,B,Creature,Demon,akh,2017,3
Sanguine Bond,5.0,B,Enchantment,,m10,2009,3
Tor Wauki,5.0,"B,R","Legendary,Creature","Human,Archer",leg,1994,2
A Mysterious Creature,0.0,,Creature,,tmkm,2024,1
Lightning Mauler,2.0,R,Creature,"Human,Berserker",avr,2012,2
Exhume,2.0,B,Sorcery,,usg,1998,1
Waste Not,2.0,B,Enchantment,,m15,2014,3
Darigaaz's Charm,3.0,"B,G,R",Instant,,pls,2001,2
Sandstone Deadfall,3.0,,Artifact,,ody,2001,2
Channeled Dragonfire,1.0,R,Sorcery,,tdm,2025,2
Thirst for Meaning,3.0,U,Instant,,thb,2020,1
Life // Death,3.0,"B,G","Sorcery,//,Sorcery",,apc,2001,2
Viscera Seer,1.0,B,Creature,"Vampire,Wizard",m11,2010,1
Lavastep Raider,1.0,R,Creature,"Goblin,Warrior",bfz,2015,1
Dragon's Rage Channeler,1.0,R,Creature,"Human,Shaman",mh2,2021,2
Threnody Singer,2.0,U,Creature,Siren,thb,2020,2
Wild Cantor,1.0,"G,R",Creature,"Human,Druid",gpt,2006,1
Tariff,2.0,W,Sorcery,,wth,1997,3
Nivix Cyclops,3.0,"R,U",Creature,Cyclops,dgm,2013,1
Big Score,4.0,R,Instant,,snc,2022,1
Haphazard Bombardment,6.0,R,Enchantment,,pdom,2018,3
"Shatterskull Smashing // Shatterskull, the Hammer Pass",2.0,R,"Sorcery,//,Land",,znr,2020,4
Reliquary Monk,3.0,W,Creature,"Human,Monk,Cleric",uds,1999,1
War Flare,4.0,"R,W",Instant,,frf,2015,1
Spring-Loaded Sawblades // Bladewheel Chariot,2.0,W,"Artifact,//,Artifact",Vehicle,lci,2023,2
"Hancock, Ghoulish Mayor",3.0,B,"Legendary,Creature","Zombie,Mutant,Advisor",pip,2024,3
For the Common Good,1.0,G,Sorcery,,pblb,2024,3
Beamtown Beatstick,1.0,R,Artifact,Equipment,mom,2023,1
Protector of the Crown,6.0,W,Creature,"Giant,Soldier",cn2,2016,3
Spell Stutter,2.0,U,Instant,,woe,2023,1
Vizier of the Scorpion,3.0,B,Creature,"Zombie,Wizard",war,2019,2
Seized from Slumber,5.0,W,Instant,,dsk,2024,1
Slice in Twain,4.0,G,Instant,,som,2010,2
"Gimli, Mournful Avenger",3.0,"G,R","Legendary,Creature","Dwarf,Warrior",pltr,2023,3
Soul Manipulation,3.0,"B,U",Instant,,arb,2009,1
Noble Benefactor,3.0,U,Creature,"Human,Cleric",wth,1997,2
Ghost-Lit Raider,3.0,R,Creature,Spirit,psok,2005,2
Echoing Deeps,0.0,,Land,Cave,lci,2023,3
Thieving Sprite,3.0,B,Creature,"Faerie,Rogue",lrw,2007,1
Skirk Commando,3.0,R,Creature,Goblin,ons,2002,1
Nest Invader,2.0,G,Creature,"Eldrazi,Drone",roe,2010,1
"Sauron, the Necromancer",5.0,B,"Legendary,Creature","Avatar,Horror",ltr,2023,3
Wizard from Beyond,5.0,"B,G,R,U,W","Legendary,Enchantment",Background,ph22,2023,4
Landbind Ritual,5.0,W,Sorcery,,zen,2009,2
Deadlock Trap,3.0,,Artifact,,pkld,2016,3
Blood Reckoning,4.0,B,Enchantment,,m13,2012,2
Catacomb Slug,5.0,B,Creature,Slug,rtr,2012,1
Nine-Lives Familiar,3.0,B,Creature,Cat,pfdn,2024,3
Dawnhart Disciple,2.0,G,Creature,"Human,Warlock",vow,2021,1
Evolution Sage,3.0,G,Creature,"Elf,Druid",war,2019,2
Moldering Gym // Weight Room,9.0,G,Enchantment,"Room,//,Enchantment,—,Room",dsk,2024,1
Subversive Acolyte,2.0,B,Creature,Human,j21,2021,3
Razortip Whip,2.0,,Artifact,,gtc,2013,1
Angel of Fury,6.0,W,Creature,Angel,p02,1998,3
Realm Seekers,6.0,G,Creature,"Elf,Scout",cns,2014,3
Legions of Lim-Dûl,3.0,B,Creature,Zombie,ice,1995,1
Spyglass Siren,1.0,U,Creature,"Siren,Pirate",lci,2023,2
Willbreaker,5.0,U,Creature,"Human,Wizard",ori,2015,3
Defiant Bloodlord,7.0,B,Creature,Vampire,pbfz,2015,3
Desert Drake,4.0,R,Creature,Drake,por,1997,2
Gnoll Hunting Party,6.0,R,Creature,Gnoll,hbg,2022,2
Shrill Howler // Howling Chorus,3.0,G,Creature,"Werewolf,Horror,//,Creature,—,Eldrazi,Werewolf",emn,2016,2
Lumbering Battlement,5.0,W,Creature,Beast,rna,2019,3
Fleeting Aven,3.0,U,Creature,"Bird,Wizard",ons,2002,2
"Caesar, Legion's Emperor",4.0,"B,R,W","Legendary,Creature","Human,Soldier",pip,2024,4
Memnarch,7.0,U,"Legendary,Artifact,Creature",Wizard,dst,2004,3
Forced Adaptation,1.0,G,Enchantment,Aura,gtc,2013,1
A-Fires of Invention,5.0,R,Enchantment,,eld,2019,3
Territorial Kavu,2.0,"G,R",Creature,Kavu,pmh2,2021,3
Command Bridge,0.0,,Land,,eoe,2025,1
Karn Liberated,7.0,,"Legendary,Planeswalker",Karn,nph,2011,4
Dissipation Field,4.0,U,Enchantment,,som,2010,3
Living Wish,2.0,G,Sorcery,,jud,2002,3
Wirewood Hivemaster,2.0,G,Creature,Elf,lgn,2003,2
Peerless Samurai,3.0,R,Creature,"Human,Samurai",neo,2022,1
Teysa Karlov,4.0,"B,W","Legendary,Creature","Human,Advisor",prna,2019,3
Heroes' Bane,5.0,G,Creature,Hydra,pjou,2014,3
Jalum Tome,3.0,,Artifact,,atq,1994,2
Temur War Shaman,6.0,G,Creature,"Human,Shaman",frf,2015,3
Pilfered Plans,3.0,"B,U",Sorcery,,dgm,2013,1
Chill,2.0,U,Enchantment,,tmp,1997,2
Lashknife Barrier,3.0,W,Enchantment,,pls,2001,2
"Kolaghan, the Storm's Fury",5.0,"B,R","Legendary,Creature",Dragon,pfrf,2015,3
Molten Collapse,2.0,"B,R",Sorcery,,lci,2023,3
Sunscape Familiar,2.0,W,Creature,Wall,pls,2001,1
Bloodcrazed Neonate,2.0,R,Creature,Vampire,pw11,2011,3
Ironwill Forger,4.0,W,Creature,"Orc,Artificer",tdc,2025,3
Hunted Nightmare,3.0,B,Creature,Nightmare,piko,2020,3
All-Out Assault,5.0,"B,R,W",Enchantment,,ptdm,2025,4
Archmage's Charm,3.0,U,Instant,,mh1,2019,3
Spellbinding Soprano,2.0,R,Creature,"Human,Bard",ncc,2022,3
Dromar's Attendant,5.0,"B,U,W","Artifact,Creature",Golem,inv,2000,2
Sacred Peaks,0.0,"R,W",Land,"Mountain,Plains",dmu,2022,1
Champion of Dusk,5.0,B,Creature,"Vampire,Knight",rix,2018,3
Woolly Spider,3.0,G,Creature,Spider,ice,1995,1
Transguild Courier,4.0,"B,G,R,U,W","Artifact,Creature",Golem,dis,2006,2
Rootwire Amalgam,5.0,G,"Artifact,Creature",Golem,bro,2022,4
Abstruse Interference,3.0,U,Instant,,ogw,2016,1
Cultivator's Caravan,3.0,,Artifact,Vehicle,pkld,2016,3
Hungering Hydra,1.0,G,Creature,Hydra,pm19,2018,3
Thousand Winds,6.0,U,Creature,Elemental,ddn,2014,3
"Ellyn Harbreeze, Busybody",4.0,W,"Legendary,Creature","Human,Peasant",clb,2022,2
"Gadrak, the Crown-Scourge",3.0,R,"Legendary,Creature",Dragon,m21,2020,3
Venerable Monk,3.0,W,Creature,"Human,Monk,Cleric",por,1997,2
Thunderblust,5.0,R,Creature,Elemental,eve,2008,3
Bow of the Hunter,0.0,,"Hero,Artifact",Equipment,thp3,2014,1
Regal Behemoth,6.0,G,Creature,Dinosaur,cn2,2016,3
Second Sight,3.0,U,Instant,,dst,2004,2
Price of Glory,3.0,R,Enchantment,,ody,2001,2
Lightning Reaver,5.0,"B,R",Creature,"Zombie,Beast",arb,2009,3
Bretagard Stronghold,0.0,"G,W",Land,,khm,2021,2
Tidal Warrior,1.0,U,Creature,"Merfolk,Warrior",sth,1998,1
Golgari Germination,3.0,"B,G",Enchantment,,rav,2005,2
Imposing Visage,1.0,R,Enchantment,Aura,ice,1995,1
Hydroid Krasis,2.0,"G,U",Creature,"Jellyfish,Hydra,Beast",prna,2019,4
Weathered Sentinels,3.0,,"Artifact,Creature",Wall,ncc,2022,3
Swashbuckler's Whip,1.0,,Artifact,Equipment,lci,2023,2
Shielding Plax,3.0,"G,U",Enchantment,Aura,dis,2006,1
Kabira Crossroads,0.0,W,Land,,zen,2009,1
Cobbled Wings,2.0,,Artifact,Equipment,isd,2011,1
Needle Spires,0.0,"R,W",Land,,ogw,2016,3
"Oona, Queen of the Fae",6.0,"B,U","Legendary,Creature","Faerie,Wizard",shm,2008,3
"Valakut, the Molten Pinnacle",0.0,R,Land,,zen,2009,3
Scion of Draco,12.0,,"Artifact,Creature",Dragon,pmh2,2021,4
Twist Allegiance,7.0,R,Sorcery,,bok,2005,3
Sundering Stroke,7.0,R,Sorcery,,eld,2019,3
Star Pupil,1.0,W,Creature,"Human,Wizard",stx,2021,1
Prismatic Ward,2.0,W,Enchantment,Aura,ice,1995,1
Chainflail Centipede,3.0,B,"Artifact,Creature","Equipment,Insect",neo,2022,1
Fatal Lore,4.0,B,Sorcery,,all,1996,3
Shorecrasher Mimic,2.0,"G,U",Creature,Shapeshifter,eve,2008,1
See the Truth,2.0,U,Sorcery,,pm21,2020,3
Boon of Emrakul,3.0,B,Enchantment,Aura,emn,2016,1
Lucky Offering,1.0,W,Sorcery,,neo,2022,1
Mythos of Vadrok,4.0,"R,U,W",Sorcery,,piko,2020,3
Deeproot Waters,3.0,U,Enchantment,,xln,2017,2
Mercurial Chemister,5.0,"R,U",Creature,"Human,Wizard",rtr,2012,3
Eat to Extinction,4.0,B,Instant,,thb,2020,3
Mirri the Cursed,4.0,B,"Legendary,Creature","Vampire,Cat",plc,2007,3
Nullhide Ferox,4.0,G,Creature,Beast,grn,2018,4
Highborn Vampire,4.0,B,Creature,"Vampire,Warrior",znr,2020,1
Magus of the Will,3.0,B,Creature,"Human,Wizard",c16,2016,3
Grim Contest,3.0,"B,G",Instant,,frf,2015,1
Into the Story,7.0,U,Instant,,eld,2019,2
Curse of the Nightly Hunt,3.0,R,Enchantment,"Aura,Curse",isd,2011,2
Pit Imp,1.0,B,Creature,Imp,tmp,1997,1
Frillscare Mentor,3.0,R,Creature,"Human,Warrior",iko,2020,2
Balustrade Spy,4.0,B,Creature,"Vampire,Rogue",gtc,2013,1
Squad Captain,5.0,W,Creature,"Human,Soldier",m20,2019,1
"Rammas Echor, Ancient Shield",4.0,W,"Legendary,Artifact",,ltc,2023,3
Disruptive Stormbrood // Petty Revenge,5.0,"B,G",Creature,"Dragon,//,Sorcery,—,Omen",tdm,2025,2
Capture Sphere,4.0,U,Enchantment,Aura,grn,2018,1
The Second Doctor,4.0,"U,W","Legendary,Creature","Time,Lord,Doctor",who,2023,3
Aggressive Biomancy,2.0,"G,U",Sorcery,,m3c,2024,3
"Sigarda, Font of Blessings",4.0,"G,W","Legendary,Creature",Angel,mat,2023,3
Prosperous Pirates,5.0,U,Creature,"Human,Pirate",xln,2017,1
Spawn of Thraxes,7.0,R,Creature,Dragon,pjou,2014,3
Pinnacle Monk // Mystic Peak,5.0,R,Creature,"Djinn,Monk,//,Land",mh3,2024,2
Gaze of Justice,1.0,W,Sorcery,,tsp,2006,1
"Sengir, the Dark Baron",6.0,B,"Legendary,Creature","Vampire,Noble",cmr,2020,3
Power Leak,2.0,U,Enchantment,Aura,lea,1993,1
Path to the World Tree,2.0,"B,G,R,U,W",Enchantment,,khm,2021,2
Tifa's Limit Break,1.0,G,Instant,,fin,2025,2
Solemn Offering,3.0,W,Sorcery,,m10,2009,1
Body Launderer,4.0,B,Creature,"Ogre,Rogue",snc,2022,4
Thassa's Intervention,2.0,U,Instant,,pthb,2020,3
Combat Professor,4.0,W,Creature,"Bird,Cleric",stx,2021,1
Ancient Silver Dragon,8.0,U,Creature,"Elder,Dragon",clb,2022,4
Kruin Striker,2.0,R,Creature,"Human,Warrior",avr,2012,1
Abrade,2.0,R,Instant,,phou,2017,2
Goblin Snowman,4.0,R,Creature,Goblin,ice,1995,2
Storm Elemental,6.0,U,Creature,Elemental,all,1996,2
Master of Pearls,2.0,W,Creature,"Human,Monk",pktk,2014,3
Shadows' Verdict,5.0,B,Sorcery,,pznr,2020,3
Glory-Bound Initiate,2.0,W,Creature,"Human,Warrior",akh,2017,3
Commanding Presence,4.0,W,Enchantment,Aura,thb,2020,2
Oblivion Strike,4.0,B,Sorcery,,ogw,2016,1
Stitcher's Apprentice,2.0,U,Creature,Homunculus,isd,2011,1
Earth-Cult Elemental,6.0,R,Creature,Elemental,afr,2021,1
Copper Carapace,1.0,,Artifact,Equipment,mbs,2011,1
Torrential Gearhulk,6.0,U,"Artifact,Creature",Construct,mps,2016,0
Jetting Glasskite,6.0,U,Creature,Spirit,bok,2005,2
Souls of the Faultless,3.0,"B,W",Creature,Spirit,gpt,2006,2
Changeling Hero,5.0,W,Creature,Shapeshifter,lrw,2007,2
Rampaging Yao Guai,3.0,G,Creature,"Bear,Mutant",pip,2024,3
Plated Slagwurm,7.0,G,Creature,Wurm,mrd,2003,3
Sigil of Myrkul,3.0,B,Enchantment,,clb,2022,2
Malakir Familiar,3.0,B,Creature,Bat,bfz,2015,2
Coldsteel Heart,2.0,,"Snow,Artifact",,csp,2006,2
Mnemonic Wall,5.0,U,Creature,Wall,roe,2010,1
Cephalid Vandal,2.0,U,Creature,"Octopus,Rogue",tor,2002,3
Response // Resurgence,7.0,"R,W","Instant,//,Sorcery",,pgrn,2018,3
Final Judgment,6.0,W,Sorcery,,bok,2005,3
Public Execution,6.0,B,Instant,,m13,2012,2
Settle the Wilds,3.0,G,Sorcery,,ymid,2021,2
"Arahbo, the First Fang",3.0,W,"Legendary,Creature","Cat,Avatar",fdn,2024,3
Ember Beast,3.0,R,Creature,Beast,ody,2001,1
Obsianus Golem,6.0,,"Artifact,Creature",Golem,lea,1993,2
Barbed Lightning,3.0,R,Instant,,dst,2004,1
Stronghold Discipline,4.0,B,Sorcery,,nem,2000,1
The Stasis Coffin,3.0,,"Legendary,Artifact",,pbro,2022,3
Elite Spellbinder,3.0,W,Creature,"Human,Cleric",pstx,2021,3
Hewed Stone Retainers,3.0,,"Artifact,Creature",Golem,ugin,2015,2
"Nissa, Vital Force",5.0,G,"Legendary,Planeswalker",Nissa,kld,2016,4
Holy Armor,1.0,W,Enchantment,Aura,lea,1993,1
Ramosian Revivalist,4.0,W,Creature,"Human,Rebel,Cleric",fut,2007,2
Malevolent Hermit // Benevolent Geist,2.0,U,Creature,"Human,Wizard,//,Creature,—,Spirit,Wizard",mid,2021,3
Celestial Vault,2.0,W,Artifact,,ysnc,2022,2
"Far Fortune, End Boss",4.0,"B,R","Legendary,Creature","Human,Mercenary",pdft,2025,3
Whirlpool Drake,4.0,U,Creature,Drake,apc,2001,2
Enigma Sphinx,7.0,"B,U,W","Artifact,Creature",Sphinx,arb,2009,3
Skittering Skirge,2.0,B,Creature,"Phyrexian,Imp",usg,1998,1
Accursed Spirit,4.0,B,Creature,Spirit,m14,2013,1
Territorial Witchstalker,2.0,G,Creature,Wolf,woe,2023,1
"Marwyn, the Nurturer",3.0,G,"Legendary,Creature","Elf,Druid",dom,2018,3
Yavimaya Steelcrusher,2.0,R,Creature,"Ape,Warrior",dmu,2022,1
Celestial Dawn,3.0,W,Enchantment,,mir,1996,3
Kindly Ancestor // Ancestor's Embrace,3.0,W,Creature,"Spirit,//,Enchantment,—,Aura",vow,2021,1
Veiled Serpent,3.0,U,Enchantment,,usg,1998,1
Seismic Rupture,3.0,R,Sorcery,,dtk,2015,2
Basilica Screecher,2.0,B,Creature,Bat,gtc,2013,1
Syndicate Heavy,4.0,"B,W",Creature,"Giant,Rogue",clu,2024,3
Alchemist's Vial,2.0,,Artifact,,ori,2015,1
Oriq Loremage,4.0,B,Creature,"Human,Warlock",stx,2021,3
Conspiracy Theorist,2.0,R,Creature,"Human,Shaman",pstx,2021,3
Compost,2.0,G,Enchantment,,uds,1999,2
Master Transmuter,4.0,U,"Artifact,Creature","Human,Artificer",con,2009,3
Angel of Vitality,3.0,W,Creature,Angel,m20,2019,2
Lord of the Nazgûl,5.0,"B,U","Legendary,Creature","Wraith,Noble",ltc,2023,3
Stormcloud Djinn,5.0,"R,U",Creature,Djinn,tsp,2006,2
Family's Favor,3.0,G,Enchantment,,pncc,2022,3
"Cosima, God of the Voyage // The Omenkeel",3.0,U,"Legendary,Creature","God,//,Legendary,Artifact,—,Vehicle",plst,2020,3
"Loot, the Pathfinder",5.0,"G,R,U","Legendary,Creature","Beast,Noble",dft,2025,4
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",3.0,R,"Legendary,Creature","God,//,Legendary,Artifact",pkhm,2021,3
Calculated Dismissal,3.0,U,Instant,,ori,2015,1
Rictus Robber,4.0,B,Creature,"Zombie,Rogue",otj,2024,2
Broken Concentration,3.0,U,Instant,,soi,2016,2
Brooding Saurian,4.0,G,Creature,Lizard,csp,2006,3
Ior Ruin Expedition,2.0,U,Enchantment,,zen,2009,1
Narset Transcendent,4.0,"U,W","Legendary,Planeswalker",Narset,dtk,2015,4
Maze of Ith,0.0,,Land,,drk,1994,2
Krosan Grip,3.0,G,Instant,,tsp,2006,2
Chandra's Fury,5.0,R,Instant,,m13,2012,1
Dread Cacodemon,10.0,B,Creature,Demon,cmd,2011,3
The Dragon-Kami Reborn // Dragon-Kami's Egg,3.0,G,Enchantment,"Saga,//,Enchantment,Creature,—,Egg",neo,2022,3
Village Elder,1.0,G,Creature,"Human,Druid",mir,1996,1
Bogardan Phoenix,5.0,R,Creature,Phoenix,vis,1997,3
Frenzied Geistblaster,2.0,R,Creature,"Human,Wizard",ymid,2021,3
Wing Shards,3.0,W,Instant,,scg,2003,2
Rummaging Goblin,3.0,R,Creature,"Goblin,Rogue",m13,2012,1
Radiant Flames,3.0,R,Sorcery,,pbfz,2015,3
Assault on Osgiliath,3.0,R,Sorcery,,ltr,2023,3
Talisman of Progress,2.0,"U,W",Artifact,,mrd,2003,2
Enchantment Alteration,1.0,U,Instant,,leg,1994,1
"Kastral, the Windcrested",5.0,"U,W","Legendary,Creature","Bird,Scout",pblb,2024,3
Pox,3.0,B,Sorcery,,ice,1995,3
Bite of the Black Rose,4.0,B,Sorcery,,cns,2014,2
Hallowed Healer,3.0,W,Creature,"Human,Cleric",ody,2001,1
Typhoon,3.0,G,Sorcery,,leg,1994,3
Ebon Drake,3.0,B,Creature,Drake,5dn,2004,2
Gnawing Crescendo,3.0,R,Instant,,woe,2023,1
Monsoon,4.0,"G,R",Enchantment,,ice,1995,3
"A-Mishra, Excavation Prodigy",2.0,R,"Legendary,Creature","Human,Artificer",bro,2022,2
"Azlask, the Swelling Scourge",3.0,"B,G,R,U,W","Legendary,Creature",Eldrazi,m3c,2024,4
Archmage's Newt,2.0,U,Creature,"Salamander,Mount",otj,2024,3
Faceless One,5.0,,"Legendary,Enchantment,Creature",Background,clb,2022,0
Barrensteppe Siege,4.0,"B,W",Enchantment,,tdm,2025,3
Reef Worm,4.0,U,Creature,Worm,c14,2014,3
Screaming Swarm,6.0,U,Creature,"Bird,Horror",vow,2021,2
Psionic Sliver,5.0,U,Creature,Sliver,tsp,2006,3
Johan,6.0,"G,R,W","Legendary,Creature","Human,Wizard",leg,1994,3
Master Symmetrist,4.0,G,Creature,"Rhino,Druid",stx,2021,2
Hit the Mother Lode,7.0,R,Sorcery,,plci,2023,3
Canopy Baloth,4.0,G,Creature,Beast,znr,2020,1
"Lu Meng, Wu General",5.0,U,"Legendary,Creature","Human,Soldier",ptk,1999,3
"Jaheira, Merciful Harper",3.0,G,"Legendary,Creature","Human,Elf,Druid",hbg,2022,2
Radiate,5.0,R,Instant,,tor,2002,3
Orcish Farmer,3.0,R,Creature,Orc,ice,1995,1
Intangible Vibes,2.0,W,Enchantment,,mb2,2024,3
"Maga, Traitor to Mortals",3.0,B,"Legendary,Creature","Human,Wizard",sok,2005,3
Martial Impetus,3.0,W,Enchantment,Aura,c20,2020,2
Bitter Revelation,4.0,B,Sorcery,,ktk,2014,1
"Obosh, the Preypiercer",5.0,"B,R","Legendary,Creature","Hellion,Horror",iko,2020,3
Siege-Gang Lieutenant,4.0,R,Creature,Goblin,m3c,2024,3
Sunken Hope,5.0,U,Enchantment,,pls,2001,3
Nausea,2.0,B,Sorcery,,exo,1998,1
Tolarian Terror,7.0,U,Creature,Serpent,dmu,2022,1
Cabal Interrogator,2.0,B,Creature,"Zombie,Wizard",scg,2003,2
Extract a Confession,2.0,B,Sorcery,,mkm,2024,1
Servo Exhibition,2.0,W,Sorcery,,kld,2016,2
Gnarled Professor,4.0,G,Creature,"Treefolk,Druid",pstx,2021,3
Bounty Board,3.0,,Artifact,,otc,2024,3
Forebear's Blade,3.0,,Artifact,Equipment,dom,2018,3
Saw It Coming,3.0,U,Instant,,khm,2021,2
Undercity Necrolisk,4.0,B,Creature,"Zombie,Lizard",grn,2018,2
Stoneshock Giant,5.0,R,Creature,Giant,ths,2013,2
Changeling Berserker,4.0,R,Creature,Shapeshifter,lrw,2007,2
Flowstone Wyvern,5.0,R,Creature,Drake,tmp,1997,3
Ardent Militia,5.0,W,Creature,"Human,Soldier",por,1997,2
Zealous Conscripts,5.0,R,Creature,"Human,Warrior",avr,2012,3
High Fae Trickster,4.0,U,Creature,"Faerie,Wizard",fdn,2024,3
Sunscorch Regent,5.0,W,Creature,Dragon,pdtk,2015,3
Great Arashin City,0.0,B,Land,,ptdm,2025,3
Saproling Migration,2.0,G,Sorcery,,dom,2018,1
Crucible of the Spirit Dragon,0.0,,Land,,frf,2015,3
Irencrag Feat,4.0,R,Sorcery,,eld,2019,3
Touch of Moonglove,1.0,B,Instant,,ori,2015,1
Kinsbaile Skirmisher,2.0,W,Creature,"Kithkin,Soldier",lrw,2007,1
Fractured Powerstone,2.0,,Artifact,,pc2,2012,1
Legion's Initiative,2.0,"R,W",Enchantment,,dgm,2013,4
Mighty Servant of Leuk-o,3.0,,Artifact,Vehicle,clb,2022,3
Celestial Regulator,3.0,"U,W",Creature,"Angel,Advisor",snc,2022,1
Grizzly Ghoul,4.0,"B,G",Creature,"Zombie,Bear",mid,2021,2
Ichormoon Gauntlet,3.0,U,Artifact,,pone,2023,4
Lazotep Chancellor,2.0,"B,U",Creature,"Zombie,Wizard",mh2,2021,2
"Grakmaw, Skyclave Ravager",3.0,"B,G","Legendary,Creature","Hydra,Horror",pznr,2020,3
Roc Hatchling,1.0,R,Creature,Bird,wth,1997,2
"Hazezon, Shaper of Sand",3.0,"G,R,W","Legendary,Creature","Human,Warrior",dmc,2022,3
Breath of the Sleepless,4.0,U,Enchantment,,voc,2021,3
Moment of Craving,2.0,B,Instant,,rix,2018,1
Task Mage Assembly,3.0,R,Enchantment,,pcy,2000,3
