name,mana_value,color_identity,types,subtypes,set,year,rarity
Steel Leaf Champion,3.0,G,Creature,"Elf,Knight",pdom,2018,rare
Tamiyo's Logbook,3.0,U,Artifact,,one,2023,uncommon
The Apprentice's Folly,4.0,"R,U",Enchantment,Saga,woe,2023,rare
Attempted Murder,2.0,B,Sorcery,,unf,2022,uncommon
Scuttling Butler,3.0,,"Artifact,Creature",Construct,snc,2022,uncommon
Kamahl's Summons,4.0,G,Sorcery,,ons,2002,uncommon
Krenko's Buzzcrusher,4.0,R,"Artifact,Creature","Insect,Thopter",mkm,2024,rare
Silklash Spider,5.0,G,Creature,Spider,ons,2002,rare
Thorn Thallid,3.0,G,Creature,Fungus,fem,1994,common
Gamble,1.0,R,Sorcery,,usg,1998,rare
Junk Winder,7.0,U,Creature,Serpent,mh2,2021,uncommon
Together Forever,2.0,W,Enchantment,,bbd,2018,rare
Black Lotus Lounge,0.0,,Plane,MagicCon,unk,2024,common
Pyretic Prankster // Glistening Goremonger,2.0,"B,R",Creature,"Devil,//,Creature,—,Phyrexian,Devil",mom,2023,common
"Archangel Avacyn // Avacyn, the Purifier",5.0,"R,W","Legendary,Creature","Angel,//,Legendary,Creature,—,Angel",psoi,2016,mythic
Incendiary Sabotage,4.0,R,Instant,,kld,2016,uncommon
Allosaurus Shepherd,1.0,G,Creature,"Elf,Shaman",jmp,2020,mythic
"Firkraag, Cunning Instigator",5.0,"R,U","Legendary,Creature",Dragon,clb,2022,mythic
Embermage Goblin,4.0,R,Creature,"Goblin,Wizard",ons,2002,uncommon
Experimental Lab // Staff Room,7.0,G,Enchantment,"Room,//,Enchantment,—,Room",dsc,2024,rare
Seize the Day,4.0,R,Sorcery,,ody,2001,rare
Rock Hydra,2.0,R,Creature,Hydra,lea,1993,rare
Halo Fountain,3.0,W,Artifact,,snc,2022,mythic
Mind Bomb,1.0,U,Sorcery,,drk,1994,rare
Elvish Berserker,1.0,G,Creature,"Elf,Berserker",exo,1998,common
"Tomik, Distinguished Advokist",2.0,W,"Legendary,Creature","Human,Advisor",pwar,2019,rare
Instill Energy,1.0,G,Enchantment,Aura,lea,1993,uncommon
Blade of Shared Souls,3.0,U,Artifact,Equipment,pone,2023,rare
Skeletal Vampire,6.0,B,Creature,"Vampire,Skeleton",gpt,2006,rare
Siege Rhino,4.0,"B,G,W",Creature,Rhino,ktk,2014,rare
"Trostani, Selesnya's Voice",4.0,"G,W","Legendary,Creature",Dryad,rtr,2012,mythic
Interdisciplinary Mascot,8.0,U,Creature,"Elemental,Fractal",mom,2023,rare
Reclamation Sage,3.0,G,Creature,"Elf,Shaman",pm15,2014,uncommon
Frost Marsh,0.0,"B,U","Snow,Land",,csp,2006,uncommon
"Ugin, the Ineffable",6.0,,"Legendary,Planeswalker",Ugin,pwar,2019,rare
Caress of Phyrexia,5.0,B,Sorcery,,nph,2011,uncommon
Redirect,2.0,U,Instant,,m11,2010,rare
Leapfrog,3.0,U,Creature,Frog,grn,2018,common
Aethersphere Harvester,3.0,,Artifact,Vehicle,paer,2017,rare
Festercreep,2.0,B,Creature,Elemental,mor,2008,common
"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",3.0,W,"Legendary,Creature","Spirit,Warlock,//,Legendary,Enchantment,—,Aura",vow,2021,rare
Sword of Light and Shadow,3.0,,Artifact,Equipment,dst,2004,rare
Contaminant Grafter,5.0,G,Creature,"Phyrexian,Druid",onc,2023,rare
Epochrasite,2.0,,"Artifact,Creature",Construct,fut,2007,rare
Congregation Gryff,3.0,"G,W",Creature,"Hippogriff,Mount",otj,2024,uncommon
Mercy Killing,3.0,"G,W",Instant,,shm,2008,uncommon
Alabaster Mage,2.0,W,Creature,"Human,Wizard",m12,2011,uncommon
Purging Scythe,5.0,,Artifact,,usg,1998,rare
Ophiomancer,3.0,B,Creature,"Human,Shaman",c13,2013,rare
Pit Keeper,2.0,B,Creature,"Human,Wizard",tsp,2006,common
Dragon,0.0,R,"Token,Creature",Dragon,tm14,2013,common
Zenith Flare,4.0,"R,W",Instant,,iko,2020,uncommon
The First Eruption,3.0,R,Enchantment,Saga,dom,2018,rare
Screeching Skaab,2.0,U,Creature,Zombie,dka,2012,common
Stonehewer Giant,5.0,W,Creature,"Giant,Warrior",mor,2008,rare
"Trostani, Three Whispers",3.0,"G,W","Legendary,Creature",Dryad,mkm,2024,mythic
Life and Limb,4.0,G,Enchantment,,plc,2007,rare
Eaten by Spiders,3.0,G,Instant,,avr,2012,uncommon
Throat Slitter,5.0,B,Creature,"Rat,Ninja",bok,2005,uncommon
Nobilis of War,5.0,"R,W",Creature,"Spirit,Avatar",eve,2008,rare
Druid's Deliverance,2.0,G,Instant,,rtr,2012,common
Sunrise Seeker,5.0,W,Creature,"Human,Scout",xln,2017,common
Impulsive Pilferer,1.0,R,Creature,"Goblin,Pirate",cmr,2020,common
Surge to Victory,6.0,R,Sorcery,,c21,2021,rare
Froghemoth,5.0,G,Creature,"Frog,Horror",pafr,2021,rare
Prowling Pangolin,5.0,B,Creature,"Pangolin,Beast",ons,2002,uncommon
Hexgold Sledge,3.0,R,Artifact,Equipment,yone,2023,uncommon
Witherbloom Command,2.0,"B,G",Sorcery,,stx,2021,rare
Kharasha Foothills,0.0,,Plane,Mongseng,opc2,2012,common
Mana Flare,3.0,R,Enchantment,,lea,1993,rare
Frost Trickster,3.0,U,Creature,"Bird,Wizard",stx,2021,common
Bold Plagiarist,4.0,B,Creature,"Vampire,Rogue",c21,2021,rare
Grave Scrabbler,4.0,B,Creature,Zombie,fut,2007,common
Modified,0.0,,Card,,fj25,2024,mythic
"Rona, Herald of Invasion // Rona, Tolarian Obliterator",2.0,"B,U","Legendary,Creature","Human,Wizard,//,Legendary,Creature,—,Phyrexian,Wizard",pmom,2023,rare
Phantom Nantuko,3.0,G,Creature,"Insect,Spirit",jud,2002,rare
Wren's Run Vanquisher,2.0,G,Creature,"Elf,Warrior",lrw,2007,uncommon
Orzhov Signet,2.0,"B,W",Artifact,,gpt,2006,common
Crocodile of the Crossing,4.0,G,Creature,Crocodile,akh,2017,uncommon
Consumptive Goo,2.0,B,Creature,Ooze,scg,2003,rare
Vow of Flight,3.0,U,Enchantment,Aura,cmd,2011,uncommon
Godless Shrine,0.0,"B,W",Land,"Plains,Swamp",gpt,2006,rare
Rescind,3.0,U,Instant,,usg,1998,common
"K-9, Mark I",1.0,U,"Legendary,Artifact,Creature","Robot,Dog",who,2023,rare
Drider,5.0,B,Creature,"Elf,Spider",afr,2021,uncommon
"Braids, Conjurer Adept",4.0,U,"Legendary,Creature","Human,Wizard",plc,2007,rare
Pyretic Hunter,5.0,R,Creature,"Elemental,Cat",cn2,2016,uncommon
Host of the Hereafter,4.0,"B,G",Creature,"Zombie,Warlock",tdm,2025,uncommon
Battle Myrsphere,7.0,,"Artifact,Creature","Phyrexian,Myr",unk,2023,rare
Soul Ransom,4.0,"B,U",Enchantment,Aura,gtc,2013,rare
Elvish Clancaller,2.0,G,Creature,"Elf,Druid",pm19,2018,rare
Uncle Istvan,4.0,B,Creature,Human,drk,1994,uncommon
Contract from Below,1.0,B,Sorcery,,lea,1993,rare
Floodwater Dam,3.0,,Artifact,,all,1996,rare
Aether Vial,1.0,,Artifact,,dst,2004,uncommon
Disa the Restless,5.0,"B,G,R","Legendary,Creature","Human,Scout",m3c,2024,mythic
Blood Knight,2.0,R,Creature,"Human,Knight",plc,2007,uncommon
Phyrexian Obliterator,4.0,B,Creature,"Phyrexian,Horror",nph,2011,mythic
"Terry Pin, Turboturtle",4.0,"R,U","Legendary,Creature","Turtle,Athlete",mb2,2024,rare
Burnished Hart,3.0,,"Artifact,Creature",Elk,ths,2013,uncommon
Naga Eternal,3.0,U,Creature,"Zombie,Snake",war,2019,common
Forgotten Ancient,4.0,G,Creature,Elemental,scg,2003,rare
Basilisk Gate,0.0,,Land,Gate,clb,2022,common
"Will, Scion of Peace",3.0,"U,W","Legendary,Creature","Human,Wizard",woe,2023,mythic
"Comet, Stellar Pup",4.0,"R,W","Legendary,Planeswalker",Comet,unf,2022,mythic
Moriok Scavenger,4.0,B,Creature,"Human,Rogue",mrd,2003,common
Wildfire,6.0,R,Sorcery,,p02,1998,rare
Wear // Tear,3.0,"R,W","Instant,//,Instant",,dgm,2013,uncommon
Silverstrike,4.0,W,Instant,,soi,2016,uncommon
Verdant Mastery // Verdant Mastery,0.0,,"Card,//,Card",,astx,2021,common
Parcel Myr,2.0,U,"Artifact,Creature","Clue,Myr",mh2,2021,common
Boartusk Liege,4.0,"G,R",Creature,"Goblin,Knight",shm,2008,rare
Diabolic Intent,2.0,B,Sorcery,,pls,2001,rare
You Find Some Prisoners,2.0,R,Instant,,afr,2021,uncommon
Dimir Cutpurse,3.0,"B,U",Creature,Spirit,rav,2005,rare
Coastal Piracy,4.0,U,Enchantment,,mmq,1999,uncommon
Ashnod's Altar,3.0,,Artifact,,atq,1994,uncommon
Hallowed Respite,2.0,"U,W",Sorcery,,mid,2021,rare
Bronze Bombshell,4.0,,"Artifact,Creature",Construct,dis,2006,rare
Metallic Sliver,1.0,,"Artifact,Creature",Sliver,tmp,1997,common
Bright Reprisal,5.0,W,Instant,,xln,2017,uncommon
Stromkirk Noble,1.0,R,Creature,"Vampire,Noble",isd,2011,rare
"Shadowheart, Cleric of War",3.0,"B,R","Legendary,Creature","Human,Elf,Cleric",hbg,2022,rare
Stalking Leonin,3.0,W,Creature,"Cat,Archer",pz2,2016,rare
Bomat Bazaar Barge,4.0,,Artifact,Vehicle,kld,2016,uncommon
In Thrall to the Pit,4.0,"B,R",Sorcery,,dmu,2022,common
Choked Estuary,0.0,"B,U",Land,,soi,2016,rare
Mindclaw Shaman,5.0,R,Creature,"Lizard,Shaman",m13,2012,uncommon
Burst Lightning,1.0,R,Instant,,zen,2009,common
Boros Charm,2.0,"R,W",Instant,,gtc,2013,uncommon
Glacierwood Siege,3.0,"G,U",Enchantment,,tdm,2025,rare
Construct,0.0,,"Token,Artifact,Creature",Construct,tkld,2016,common
"Squee, Dubious Monarch",3.0,R,"Legendary,Creature","Goblin,Noble",dmu,2022,rare
Artful Looter,3.0,U,Creature,"Human,Wizard",unh,2004,common
Baral's Expertise,5.0,U,Sorcery,,paer,2017,rare
Sandblast,3.0,W,Instant,,frf,2015,common
Serene Remembrance,1.0,G,Sorcery,,gtc,2013,uncommon
Skyship Stalker,4.0,R,Creature,"Cat,Dragon",pkld,2016,rare
"Mijo, the Bull",3.0,R,"Legendary,Creature","Ox,Athlete",unk,2025,rare
Cabal Initiate,2.0,B,Creature,"Human,Warlock",mh2,2021,common
Creeping Tar Pit,0.0,"B,U",Land,,wwk,2010,rare
Unworthy Dead,2.0,B,Creature,"Phyrexian,Skeleton",usg,1998,common
Lady Sun,3.0,U,"Legendary,Creature","Human,Advisor",ptk,1999,rare
"Emet-Selch, Unsundered // Hades, Sorcerer of Eld",3.0,"B,U","Legendary,Creature","Elder,Wizard,//,Legendary,Creature,—,Avatar",fin,2025,mythic
Temporal Mastery,7.0,U,Sorcery,,avr,2012,mythic
Skophos Maze-Warden,4.0,R,Creature,"Minotaur,Warrior",thb,2020,uncommon
Monument to Perfection,2.0,,Artifact,,pone,2023,rare
Merchant of Truth,4.0,W,Creature,"Angel,Detective",mkc,2024,rare
Hans Eriksson,4.0,"G,R","Legendary,Creature","Human,Scout",cmr,2020,rare
Spirit,0.0,G,"Token,Creature",Spirit,tneo,2022,common
Thought Vessel,2.0,,Artifact,,c15,2015,common
Dire-Strain Rampage,3.0,"G,R",Sorcery,,mid,2021,rare
Ainok Survivalist,2.0,G,Creature,"Dog,Shaman",dtk,2015,uncommon
Vance's Blasting Cannons // Spitfire Bastion,4.0,R,"Legendary,Enchantment,//,Legendary,Land",,pxln,2017,rare
Yahenni's Expertise,4.0,B,Sorcery,,paer,2017,rare
Stun,2.0,R,Instant,,tmp,1997,common
Vault 21: House Gambit,2.0,R,Enchantment,Saga,pip,2024,rare
Era of Innovation,2.0,U,Enchantment,,kld,2016,uncommon
Kathari Remnant,4.0,"B,U",Creature,"Bird,Skeleton",arb,2009,uncommon
Esper Origins // Summon: Esper Maduin,2.0,G,"Sorcery,//,Enchantment,Creature","Saga,Elemental",fin,2025,rare
Shattered Perception,3.0,R,Sorcery,,dka,2012,uncommon
Runechanter's Pike,2.0,,Artifact,Equipment,isd,2011,rare
Amphin Mutineer,4.0,U,Creature,"Salamander,Pirate",cmr,2020,rare
Darksteel Myr,3.0,,"Artifact,Creature",Myr,som,2010,uncommon
Construct,0.0,,"Token,Artifact,Creature",Construct,tznr,2020,common
"Torgal, A Fine Hound",2.0,G,"Legendary,Creature",Wolf,fin,2025,uncommon
Compulsive Research,3.0,U,Sorcery,,rav,2005,common
Evangelize,5.0,W,Sorcery,,tsp,2006,rare
Manifold Key,1.0,,Artifact,,m20,2019,uncommon
Sunstrike Legionnaire,2.0,W,Creature,"Human,Soldier",lgn,2003,rare
Strongarm Monk,5.0,W,Creature,"Human,Monk",dtk,2015,uncommon
Fell Beast of Mordor // Fell Beast of Mordor,0.0,,"Card,//,Card",,altc,2023,common
Barbtooth Wurm,6.0,G,Creature,Wurm,p02,1998,common
Grip of Phyresis,3.0,U,Instant,,c16,2016,uncommon
Lunar Rejection,2.0,U,Instant,,vow,2021,uncommon
Imposing Sovereign,2.0,W,Creature,"Human,Noble",m14,2013,rare
Giant Ambush Beetle,5.0,"B,G,R",Creature,Insect,arb,2009,uncommon
Captain Lannery Storm,3.0,R,"Legendary,Creature","Human,Pirate",xln,2017,rare
Avatar of Woe,8.0,B,Creature,Avatar,pcy,2000,rare
Crimson Mage,2.0,R,Creature,"Human,Shaman",m12,2011,uncommon
Heronblade Elite,3.0,G,Creature,"Human,Warrior",mic,2021,rare
Esika's Chariot,4.0,G,"Legendary,Artifact",Vehicle,pkhm,2021,rare
Faces of the Past,3.0,U,Enchantment,,scg,2003,rare
Farbog Revenant,3.0,B,Creature,Spirit,soi,2016,common
"Jerren, Corrupted Bishop // Ormendahl, the Corrupter",3.0,B,"Legendary,Creature","Human,Cleric,//,Legendary,Creature,—,Demon",mid,2021,mythic
Jagged-Scar Archers,3.0,G,Creature,"Elf,Archer",lrw,2007,uncommon
Wildfire Emissary,4.0,R,Creature,Efreet,mir,1996,uncommon
Epicure of Blood,5.0,B,Creature,Vampire,m19,2018,common
Liliana's Defeat,1.0,B,Sorcery,,hou,2017,uncommon
Spelltwine,6.0,U,Sorcery,,m13,2012,rare
Polluted Delta,0.0,,Land,,ons,2002,rare
In Search of Greatness,2.0,G,Enchantment,,khm,2021,rare
Auriok Edgewright,2.0,W,Creature,"Human,Soldier",som,2010,uncommon
Leaping Master,2.0,"R,W",Creature,"Human,Monk",ktk,2014,common
Relic of Progenitus,1.0,,Artifact,,ala,2008,common
Mishra's War Machine,7.0,,"Artifact,Creature",Juggernaut,atq,1994,rare
Corrupt,6.0,B,Sorcery,,usg,1998,common
Deepglow Skate,5.0,U,Creature,Fish,c16,2016,rare
Sublime Epiphany,6.0,U,Instant,,m21,2020,rare
Wall of One Thousand Cuts,5.0,W,Creature,Wall,mh1,2019,common
Desert of the Fervent,0.0,R,Land,Desert,hou,2017,common
Elspeth's Devotee,4.0,W,Creature,"Human,Soldier",thb,2020,rare
Goblin Warrior,0.0,"G,R","Token,Creature","Goblin,Warrior",tshm,2008,common
Surge Engine,2.0,U,"Artifact,Creature",Construct,gdy,2022,mythic
Soul Search,2.0,"B,W",Sorcery,,mkm,2024,uncommon
"Edgar, King of Figaro",6.0,U,"Legendary,Creature","Human,Artificer,Noble",pfin,2025,rare
"Olivia, Mobilized for War",3.0,"B,R","Legendary,Creature","Vampire,Knight",psoi,2016,mythic
Plant,0.0,G,"Token,Creature",Plant,txln,2017,common
Lord of the Forsaken,6.0,B,Creature,Demon,mid,2021,mythic
Captivating Vampire,3.0,B,Creature,Vampire,m11,2010,rare
Pack's Favor,3.0,G,Instant,,grn,2018,common
Crop Rotation,1.0,G,Instant,,ulg,1999,common
Haunted House,0.0,,Artifact,Attraction,unf,2022,rare
Mistvault Bridge // Mistvault Bridge,0.0,,"Card,//,Card",,amh2,2021,common
Corpsehatch,5.0,B,Sorcery,,roe,2010,uncommon
Skyclave Apparition,3.0,W,Creature,"Kor,Spirit",pznr,2020,rare
Vampire,0.0,"B,R","Token,Creature",Vampire,tmid,2021,common
Lost Order of Jarkeld,4.0,W,Creature,"Human,Knight",ice,1995,rare
As Foretold,3.0,U,Enchantment,,akh,2017,mythic
Quicksmith Spy,4.0,U,Creature,"Human,Artificer",aer,2017,rare
Pyromancer's Goggles,5.0,R,"Legendary,Artifact",,ori,2015,mythic
Electrozoa,3.0,U,Creature,Jellyfish,mh3,2024,common
The Darkness Crystal,4.0,B,"Legendary,Artifact",,fin,2025,rare
"Kydele, Chosen of Kruphix",4.0,"G,U","Legendary,Creature","Human,Wizard",c16,2016,mythic
Tormod's Crypt,0.0,,Artifact,,drk,1994,uncommon
Waste Management,3.0,B,Instant,,ncc,2022,rare
Growth-Chamber Guardian,2.0,G,Creature,"Elf,Crab,Warrior",rna,2019,rare
Sorcerous Spyglass,2.0,,Artifact,,pxln,2017,rare
Cemetery Tampering,3.0,B,Enchantment,,psnc,2022,rare
Thoughtcast,5.0,U,Sorcery,,mrd,2003,common
Sunforger,3.0,"R,W",Artifact,Equipment,rav,2005,rare
Faerie,0.0,U,"Token,Creature",Faerie,twoe,2023,common
Oread of Mountain's Blaze,2.0,R,"Enchantment,Creature",Nymph,thb,2020,common
Mirror Universe,6.0,,Artifact,,leg,1994,rare
Pyromancer Ascension,2.0,R,Enchantment,,zen,2009,rare
Case the Joint,4.0,U,Instant,,snc,2022,common
"Thrun, Breaker of Silence",5.0,G,"Legendary,Creature","Troll,Shaman",pone,2023,rare
Flight Spellbomb,1.0,U,Artifact,,som,2010,common
Goblin Mime,2.0,R,Creature,"Goblin,Mime",pal04,2004,rare
Murgish Cemetery,6.0,B,Enchantment,,psdg,2001,rare
Giantbaiting,3.0,"G,R",Sorcery,,shm,2008,common
Dack Fayden,3.0,"R,U","Legendary,Planeswalker",Dack,cns,2014,mythic
Pyrotechnic Performer,2.0,R,Creature,"Lizard,Assassin",mkm,2024,rare
Neurok Hoversail,1.0,,Artifact,Equipment,mrd,2003,common
"Sima Yi, Wei Field Marshal",6.0,B,"Legendary,Creature","Human,Soldier",ptk,1999,rare
Savage Surge,2.0,G,Instant,,rtr,2012,uncommon
Retether,4.0,W,Sorcery,,plc,2007,rare
Village Rites,1.0,B,Instant,,m21,2020,common
Nature's Claim,1.0,G,Instant,,wwk,2010,common
Falkenrath Noble,4.0,B,Creature,"Vampire,Noble",isd,2011,uncommon
Bramble Sovereign,4.0,G,Creature,Dryad,bbd,2018,mythic
Pool Resources,3.0,U,Instant,,yblb,2024,uncommon
"Fynn, the Fangbearer",2.0,G,"Legendary,Creature","Human,Warrior",khm,2021,uncommon
Feast or Famine,4.0,B,Instant,,all,1996,common
Wizards of Thay,4.0,U,Creature,"Human,Wizard",pclb,2022,rare
"Fangorn, Tree Shepherd",7.0,G,"Legendary,Creature",Treefolk,ltr,2023,rare
Arcane Sanctum,0.0,"B,U,W",Land,,ala,2008,uncommon
Scurry Oak,3.0,G,Creature,Treefolk,mh2,2021,uncommon
Unholy Annex // Ritual Chamber,8.0,B,Enchantment,"Room,//,Enchantment,—,Room",dsk,2024,rare
Skyshroud Poacher,4.0,G,Creature,"Human,Rebel",nem,2000,rare
Tyrranax Rex,7.0,G,Creature,"Phyrexian,Dinosaur",one,2023,mythic
Bone Shredder,3.0,B,Creature,"Phyrexian,Minion",ulg,1999,uncommon
Myr Landshaper,3.0,,"Artifact,Creature",Myr,dst,2004,common
"Ikra Shidiqi, the Usurper",5.0,"B,G","Legendary,Creature","Snake,Wizard",c16,2016,mythic
"Arvinox, the Mind Flail",7.0,B,"Legendary,Enchantment,Creature",Horror,sld,2021,mythic
Merfolk Looter,2.0,U,Creature,"Merfolk,Rogue",exo,1998,common
Titania's Song,4.0,G,Enchantment,,atq,1994,uncommon
Fetid Heath,0.0,"B,W",Land,,eve,2008,rare
Ojutai's Command,4.0,"U,W",Instant,,pdtk,2015,rare
Bathe in Light,2.0,W,Instant,,rav,2005,uncommon
Balduvian Horde,4.0,R,Creature,"Human,Barbarian",all,1996,rare
Vitalizing Wind,9.0,G,Instant,,pcy,2000,rare
Sarah's Wings,1.0,W,"Tribal,Instant",Angel,cmb1,2019,rare
Shadowbane,2.0,W,Instant,,mir,1996,uncommon
Whitemane Lion,2.0,W,Creature,Cat,psal,2005,common
Green Scarab,1.0,W,Enchantment,Aura,ice,1995,uncommon
"Nashi, Searcher in the Dark",2.0,"B,U","Legendary,Creature","Rat,Ninja,Wizard",dsk,2024,rare
Slip Through Space,1.0,U,Sorcery,,ogw,2016,common
Brightmare,3.0,W,Creature,Unicorn,jmp,2020,uncommon
Sparkhunter Masticore,3.0,,"Artifact,Creature",Masticore,pm21,2020,rare
Weathered Runestone,2.0,,Artifact,,khm,2021,uncommon
Forbid,3.0,U,Instant,,exo,1998,uncommon
Hound of the Farbogs,5.0,B,Creature,"Zombie,Dog",soi,2016,common
Animate Dead,2.0,B,Enchantment,Aura,lea,1993,uncommon
Guess Who it Is!,5.0,R,Sorcery,,unk,2024,uncommon
Spirit Link,1.0,W,Enchantment,Aura,leg,1994,uncommon
Judge's Familiar,1.0,"U,W",Creature,Bird,rtr,2012,uncommon
Simic Charm,2.0,"G,U",Instant,,gtc,2013,uncommon
Heirloom Blade,3.0,,Artifact,Equipment,pz2,2016,uncommon
Armor Sliver,3.0,W,Creature,Sliver,tmp,1997,uncommon
Restless Anchorage,0.0,"U,W",Land,,lci,2023,rare
Utopia Sprawl,1.0,G,Enchantment,Aura,dis,2006,common
"Beza, the Bounding Spring",4.0,W,"Legendary,Creature","Elemental,Elk",blb,2024,mythic
Body Dropper,2.0,"B,R",Creature,"Devil,Warrior",snc,2022,common
"Sharkey, Tyrant of the Shire",4.0,"B,U","Legendary,Creature","Avatar,Rogue",pltr,2023,rare
Soul Summons,2.0,W,Sorcery,,ugin,2015,common
Dire Fleet Hoarder,2.0,B,Creature,"Human,Pirate",xln,2017,common
Deadbridge Goliath,4.0,G,Creature,Insect,rtr,2012,rare
Fervent Cathar,3.0,R,Creature,"Human,Knight",avr,2012,common
Archers of Qarsi,4.0,G,Creature,"Snake,Archer",frf,2015,common
Trusty Packbeast,3.0,W,Creature,Beast,m19,2018,common
Staff of the Flame Magus,3.0,,Artifact,,m14,2013,uncommon
Sleight of Mind,1.0,U,Instant,,lea,1993,rare
Mithril Coat,3.0,,"Legendary,Artifact",Equipment,ltr,2023,rare
Gilded Lotus,5.0,,Artifact,,mrd,2003,rare
Urza's Command,4.0,U,Instant,,bro,2022,rare
Nyxborn Courser,3.0,W,"Enchantment,Creature","Centaur,Scout",thb,2020,common
Aethershield Artificer,4.0,W,Creature,"Dwarf,Artificer",m19,2018,uncommon
Convalescence,2.0,W,Enchantment,,exo,1998,rare
Zurgo Helmsmasher,5.0,"B,R,W","Legendary,Creature","Orc,Warrior",ddn,2014,mythic
Bounty: Miron Tillas Jr. // Wanted!,0.0,,"Card,//,Card",,totc,2024,common
Windgrace's Judgment,5.0,"B,G",Instant,,c18,2018,rare
Kjeldoran Escort,4.0,W,Creature,"Human,Soldier",all,1996,common
Rakalite,6.0,,Artifact,,atq,1994,uncommon
"Lazav, the Multifarious",2.0,"B,U","Legendary,Creature",Shapeshifter,grn,2018,mythic
Ichor Shade,3.0,B,Creature,"Phyrexian,Shade",mom,2023,common
Darksteel Relic,0.0,,Artifact,,nph,2011,uncommon
Skullsnap Nuisance,2.0,"B,U",Creature,"Insect,Skeleton",dsk,2024,uncommon
Swell of Courage,5.0,W,Instant,,mor,2008,uncommon
Sheltering Landscape,0.0,"G,R,W",Land,,mh3,2024,common
Nurturing Pixie,1.0,W,Creature,"Faerie,Rogue",otj,2024,uncommon
Torn Between Heads,0.0,,Sorcery,,tfth,2013,common
Grave Pact,4.0,B,Enchantment,,sth,1998,rare
Roaring Furnace // Steaming Sauna // Roaring Furnace // Steaming Sauna,0.0,,"Card,//,Card",,adsk,2024,common
Rootgrapple,5.0,G,"Kindred,Instant",Treefolk,lrw,2007,common
Underworld Fires,2.0,R,Sorcery,,thb,2020,uncommon
Hound of Griselbrand,4.0,R,Creature,"Elemental,Dog",avr,2012,rare
City's Blessing,0.0,,Card,,trix,2018,common
Flamekin Village,0.0,R,Land,,c14,2014,rare
Soul Kiss,3.0,B,Enchantment,Aura,ice,1995,common
Five Kids in a Trenchcoat,3.0,W,Creature,"Human,Citizen",cmb1,2019,rare
Deduce // Deduce,0.0,,"Card,//,Card",,amkm,2024,common
You Exist Only to Amuse,0.0,,Scheme,,dsc,2024,common
Forced Retreat,3.0,U,Sorcery,,ptk,1999,common
Restore Balance,0.0,W,Sorcery,,tsp,2006,rare
Mana Short,3.0,U,Instant,,lea,1993,rare
Bounding Krasis,3.0,"G,U",Creature,"Fish,Lizard",ori,2015,uncommon
Stupor,3.0,B,Sorcery,,mir,1996,uncommon
Careful Study,1.0,U,Sorcery,,ody,2001,common
Tremor,1.0,R,Sorcery,,vis,1997,common
Carrion Howler,4.0,B,Creature,"Zombie,Wolf",psal,2005,uncommon
Inkmoth Nexus,0.0,,Land,,mbs,2011,rare
Thirst for Knowledge,3.0,U,Instant,,mrd,2003,uncommon
Insect,0.0,G,"Token,Creature",Insect,ttsr,2021,common
Overgrown Tomb,0.0,"B,G",Land,"Swamp,Forest",rav,2005,rare
Blinkmoth Urn,5.0,,Artifact,,mrd,2003,rare
Forked-Branch Garami,5.0,G,Creature,Spirit,bok,2005,uncommon
The Sound of Drums,3.0,R,Enchantment,Aura,who,2023,rare
Sandsteppe Citadel,0.0,"B,G,W",Land,,ktk,2014,uncommon
Cult of Skaro,4.0,"B,R,U","Legendary,Artifact,Creature",Dalek,who,2023,rare
Omen Machine,6.0,,Artifact,,nph,2011,rare
Tocasia's Welcome,3.0,W,Enchantment,,pbro,2022,rare
Halimar Wavewatch,2.0,U,Creature,"Merfolk,Soldier",roe,2010,common
"Skullbriar, the Walking Grave",2.0,"B,G","Legendary,Creature","Zombie,Elemental",pcmd,2011,rare
Roaming Throne,4.0,,"Artifact,Creature",Golem,lci,2023,rare
"Yorion, Sky Nomad",5.0,"U,W","Legendary,Creature","Bird,Serpent",piko,2020,rare
Blind Fury,4.0,R,Instant,,mir,1996,uncommon
Ainok Tracker,6.0,R,Creature,"Dog,Scout",ktk,2014,common
Stronghold Furnace,0.0,,Plane,Rath,ohop,2009,common
Borderland Marauder,2.0,R,Creature,"Human,Warrior",m15,2014,common
Explosive Getaway,5.0,"R,W",Sorcery,,pdft,2025,rare
"Keruga, the Macrosage",5.0,"G,U","Legendary,Creature","Dinosaur,Hippo",iko,2020,rare
Gruesome Scourger,5.0,B,Creature,"Orc,Warrior",m20,2019,uncommon
Mishra's Helix,5.0,,Artifact,,usg,1998,rare
Clock of Omens,4.0,,Artifact,,5dn,2004,uncommon
Legion Extruder,2.0,R,Artifact,,big,2024,mythic
"Kiora, Behemoth Beckoner",3.0,"G,U","Legendary,Planeswalker",Kiora,war,2019,uncommon
Plasm Capture,4.0,"G,U",Instant,,dgm,2013,rare
Demonic Embrace,3.0,B,Enchantment,Aura,m21,2020,rare
March of Swirling Mist,1.0,U,Instant,,neo,2022,rare
Avacynian Missionaries // Lunarch Inquisitors,4.0,W,Creature,"Human,Cleric,//,Creature,—,Human,Cleric",soi,2016,uncommon
Dead Man's Chest,2.0,B,Enchantment,Aura,prix,2018,rare
Sardian Avenger,2.0,R,Creature,"Goblin,Warrior",brc,2022,rare
Toolcraft Exemplar,1.0,W,Creature,"Dwarf,Artificer",pkld,2016,rare
